thread_root_uri,thread_root_author,target_post_uri,target_post_author,target_post_text,target_likes,target_replies,target_reposts,target_quotes,target_created_at,parent_1_uri,parent_1_author,parent_1_text,parent_1_likes,parent_1_replies,parent_1_reposts,parent_1_quotes,parent_1_created_at,parent_2_uri,parent_2_author,parent_2_text,parent_2_likes,parent_2_replies,parent_2_reposts,parent_2_quotes,parent_2_created_at,parent_3_uri,parent_3_author,parent_3_text,parent_3_likes,parent_3_replies,parent_3_reposts,parent_3_quotes,parent_3_created_at,reply_1_uri,reply_1_author,reply_1_text,reply_1_likes,reply_1_replies,reply_1_reposts,reply_1_quotes,reply_1_created_at,reply_2_uri,reply_2_author,reply_2_text,reply_2_likes,reply_2_replies,reply_2_reposts,reply_2_quotes,reply_2_created_at,reply_3_uri,reply_3_author,reply_3_text,reply_3_likes,reply_3_replies,reply_3_reposts,reply_3_quotes,reply_3_created_at
at://did:plc:tl3hglyjtz64fuqm3sikpgkv/app.bsky.feed.post/3laphld5qsc2i,nukularbiskits.bsky.social,at://did:plc:gjwzpjqrolgnm5xnovjv7d63/app.bsky.feed.post/3lapiuqhbc22w,weftage.bsky.social,Curating your Bluesky timeline so that you have some refuge from the rain of bullshit isn't creating an echo chamber. You're just creating an umbrella. In the scheme of things the umbrella is probably...,1,0,0,0,2024-11-11T23:46:24.927Z,at://did:plc:tl3hglyjtz64fuqm3sikpgkv/app.bsky.feed.post/3laphld5qsc2i,nukularbiskits.bsky.social,"1/ Serious question for anyone who follows me … or anyone who just wants to weigh in (except any trolls):

How do I keep avoid being trapped in and be...",0,4,0,1,2024-11-11T23:23:15.254Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:oazod3zfweyhy4cmyoa4yxqv/app.bsky.feed.post/3laph2qd3kk2g,stevepeers.bsky.social,at://did:plc:oazod3zfweyhy4cmyoa4yxqv/app.bsky.feed.post/3laphxsnppk2g,stevepeers.bsky.social,"An FT article in September saying BlueSky was an echo chamber like a Stokey drinks party: Nazis were mentioned, Americans were bemused, reaction was hostile and the author was the main character here ...",2,2,0,0,2024-11-11T23:30:14.158Z,at://did:plc:oazod3zfweyhy4cmyoa4yxqv/app.bsky.feed.post/3laph2qd3kk2g,stevepeers.bsky.social,Should...should we fill her in on the Stoke Newington drinks parties discourse...,53,7,1,0,2024-11-11T23:13:58.634Z,at://did:plc:wyoqqalmgy3qnnscxksz4ldt/app.bsky.feed.post/3laphpqxfus2y,james.claims,wait what stokey discourse did I miss...,0,1,0,0,2024-11-11T23:25:43.944Z,,,,,,,,,at://did:plc:wyoqqalmgy3qnnscxksz4ldt/app.bsky.feed.post/3lapi6epbkk2y,james.claims,"ohhhhh yeah i forgot cos I blocked the author immediately, I have no time for the hand wringing of actually we should be able to say transphobic thing...",0,0,0,0,2024-11-11T23:33:54.411Z,at://did:plc:b7loios3gmw3pui4ijvs55ut/app.bsky.feed.post/3laqjo7ho6c2v,stephen1958.bsky.social,"People as far away as Kent also bemused, and had to search on Google maps for Stoke Newington....",0,1,0,0,2024-11-12T09:33:19.269Z,,,,,,,,
at://did:plc:zxriru6jnpzkbnux5ey6pcgv/app.bsky.feed.post/3laphrsdbdc2w,lilseb93.bsky.social,at://did:plc:zxriru6jnpzkbnux5ey6pcgv/app.bsky.feed.post/3laphrsdbdc2w,lilseb93.bsky.social,"Just because I don't see racism, sexism, homophobia, and transphobia on my TL on Bluesky doesn't make it an echo chamber. That just makes it good. If having to live in a bubble keeps me away from horr...",123,13,6,2,2024-11-11T23:26:52.490Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:wvj77lpvtufet76t2kgbxgk4/app.bsky.feed.post/3lapilmznek22,chrisjamessauve.bsky.social,Exactly....,1,0,0,0,2024-11-11T23:41:19.347Z,at://did:plc:vpd7cg5sdawauvqoq2lbjfaw/app.bsky.feed.post/3laqgmwkx332z,kerron.bsky.social,"For real though, why does it even matter if you're even in an ""echo chamber"" 

I want to surround myself with people who have similar values because m...",4,1,0,0,2024-11-12T08:38:54.437Z,at://did:plc:ultiwxuoaxmdgv4pbt6r4fxq/app.bsky.feed.post/3laplz6v7d22x,kittiesplease.bsky.social,My sentiments exactly 💯...,1,0,0,0,2024-11-12T00:42:35.509Z
at://did:plc:tl3hglyjtz64fuqm3sikpgkv/app.bsky.feed.post/3laphld5qsc2i,nukularbiskits.bsky.social,at://did:plc:tl3hglyjtz64fuqm3sikpgkv/app.bsky.feed.post/3laphld5qsc2i,nukularbiskits.bsky.social,"1/ Serious question for anyone who follows me … or anyone who just wants to weigh in (except any trolls):

How do I keep avoid being trapped in and becoming part of an echo chamber now that I’ve moved...",0,4,0,1,2024-11-11T23:23:15.254Z,,,,,,,,,,,,,,,,,,,,,,,,,at://did:plc:xxvgzkdjdcpo5pjtkrk4ttuv/app.bsky.feed.post/3lapqtykizs2r,lesleyzeelesley.bsky.social,I've followed some folks from different 'starter packs' and already see posts from views opposite mine.  That might be one way to stay free of echo ch...,0,0,0,0,2024-11-12T02:09:09.804Z,at://did:plc:tl3hglyjtz64fuqm3sikpgkv/app.bsky.feed.post/3laphln6v622i,nukularbiskits.bsky.social,"2/ On Twitter, I was exposed to a LOT of “conservative” viewpoints (being kind here), including those that represented official positions & policies o...",1,1,0,0,2024-11-11T23:23:25.776Z,at://did:plc:gjwzpjqrolgnm5xnovjv7d63/app.bsky.feed.post/3lapiuqhbc22w,weftage.bsky.social,Curating your Bluesky timeline so that you have some refuge from the rain of bullshit isn't creating an echo chamber. You're just creating an umbrella...,1,0,0,0,2024-11-11T23:46:24.927Z
at://did:plc:z2gio2pmy5j3inj3ahsxq34z/app.bsky.feed.post/3lapgtodigc2m,lloydal.bsky.social,at://did:plc:z2gio2pmy5j3inj3ahsxq34z/app.bsky.feed.post/3lapgtodigc2m,lloydal.bsky.social,"I fully support this.

It's funny that those ""people"" thought of BlueSky as an echo chamber but Twitter is starting to become the latter....",0,0,0,0,2024-11-11T23:10:01.669Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:ox7imszawnevcvgitz4mwopw/app.bsky.feed.post/3lapejt3sg22y,helexzura.bsky.social,at://did:plc:hhjjq3ogttdfjbfhtq6ojuey/app.bsky.feed.post/3lapfmaneqk2w,rpjj.bsky.social,"I can understand the echo chamber bit kind of. On twitter, I would almost never get engagement on my own posts, but here I get way more compared to twitter. But I’ve also only used Bluesky for a few d...",1,0,0,0,2024-11-11T22:47:58.690Z,at://did:plc:ox7imszawnevcvgitz4mwopw/app.bsky.feed.post/3lapejt3sg22y,helexzura.bsky.social,"Not sure where this notion of “blue sky is an echo chamber” comes from. I have a lot of people that disagree with some of the stuff I say. 

There are...",150,30,6,0,2024-11-11T22:28:43.632Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:biqxizs5tbtv43zr7b7czlxh/app.bsky.feed.post/3lapfglqrfc2i,dj-lys.bsky.social,at://did:plc:biqxizs5tbtv43zr7b7czlxh/app.bsky.feed.post/3lapfglqrfc2i,dj-lys.bsky.social,"Bluesky starter packs are just a way to jump start your echo chamber...

How about you just take the time to get to know people on your own instead of having somebody else categorize & file people for...",0,0,0,0,2024-11-11T22:44:49.010Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:gq5adt4jkkhtdoiitslt226q/app.bsky.feed.post/3lapdwgsct22n,yimbyland.com,at://did:plc:gq5adt4jkkhtdoiitslt226q/app.bsky.feed.post/3lapdzrb6e22n,yimbyland.com,"Threads feels more hollow, idk how to describe it.

Bluesky is finally coming into its own. A lot more people are here now. Be careful letting it turn into an echo chamber for yourself tho....",38,3,0,0,2024-11-11T22:19:44.841Z,at://did:plc:gq5adt4jkkhtdoiitslt226q/app.bsky.feed.post/3lapdwgsct22n,yimbyland.com,"I think I can officially say 
Bluesky >> Threads...",143,9,3,0,2024-11-11T22:17:53.205Z,,,,,,,,,,,,,,,,,at://did:plc:ukwirhsmzxoyociohbgp3gi2/app.bsky.feed.post/3lapihxytf22s,realfrootjuice.bsky.social,I find threads is more interested in telling me what accounts I don't follow have to say....,0,0,0,0,2024-11-11T23:39:16.636Z,at://did:plc:mx65tgbxmmn6jdmnx63rayw2/app.bsky.feed.post/3lape64w47m23,ckshowalter.bsky.social,Threads echos. It’s rare I get a reply even from friends....,2,0,0,0,2024-11-11T22:22:11.278Z,at://did:plc:dtveljkrkzmnpgq3wqe2e5bz/app.bsky.feed.post/3lapehdrjws2a,thisisbenphelps.bsky.social,Apparently some people really want that...,0,0,0,0,2024-11-11T22:27:20.299Z
at://did:plc:vogte65axm52kf7as66hb7og/app.bsky.feed.post/3lapdvkwetc2n,fizzvstheworld.bsky.social,at://did:plc:vogte65axm52kf7as66hb7og/app.bsky.feed.post/3lapdvkwetc2n,fizzvstheworld.bsky.social,"When Blue Checks on the other site say that BlueSky is an ""echo chamber"":
#FizzVsGaming...",3,0,1,0,2024-11-11T22:17:23.972Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at://did:plc:e3xkjtk67cvvjkaiwmhfd2kh/app.bsky.feed.post/3lapdiadwes2j,vyhtheas.bsky.social,at://did:plc:e3xkjtk67cvvjkaiwmhfd2kh/app.bsky.feed.post/3lapdiadwes2j,vyhtheas.bsky.social,"People are calling BlueSky an echo chamber, and it's just endless chaos of memes and art and more beautiful than Twitter will ever be...",18,0,3,0,2024-11-11T22:09:56.679Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
